design,regime,p,seed,m,estimate,standard_error,population_reference,absolute_difference,tolerance,agrees_with_population
fixed_cardinality,negative_block,0.125,303,8192,0.003186517084158029,0.003946376018734045,-0.0000012315447381098028,0.0031877486288961385,0.028037881821707796,true
fixed_cardinality,negative_block,0.25,101,8192,0.2081758973338882,0.0031346346621375014,0.21127445734126238,0.003098560007374185,0.022979983301513168,true
fixed_cardinality,negative_block,0.25,202,8192,0.21469585380291817,0.0031234168749215813,0.21127445734126238,0.00342139646165579,0.02291328930849087,true
fixed_cardinality,negative_block,0.25,303,8192,0.20757868906519417,0.003141184267109908,0.21127445734126238,0.003695768276068212,0.023018925179432617,true
fixed_cardinality,negative_block,0.375,101,8192,0.31661194895453515,0.0027369034581153006,0.3169113864918075,0.00029943753727235123,0.020861256047520645,true
fixed_cardinality,negative_block,0.375,202,8192,0.31712519771157377,0.0027438575400929558,0.3169113864918075,0.00021381121976626893,0.020901894784496344,true
fixed_cardinality,negative_block,0.375,303,8192,0.31440364221951245,0.0027256759940024393,0.3169113864918075,0.002507744272295054,0.020795655467072686,true
fixed_cardinality,negative_block,0.5,101,8192,0.3845553699647344,0.0025320762006343293,0.3829108565410058,0.0016445134237285663,0.01987990471927376,true
fixed_cardinality,negative_block,0.5,202,8192,0.37944148856637694,0.0025092743940943354,0.3829108565410058,0.0034693679746288786,0.019749066812310073,true
fixed_cardinality,negative_block,0.5,303,8192,0.3847339695794005,0.002546639919283759,0.3829108565410058,0.0018231130383946637,0.019963524473917475,true
fixed_cardinality,negative_block,0.625,101,8192,0.43344073874728284,0.0028812131268093253,0.43098488247022315,0.002455856277059687,0.02230932918362066,true
fixed_cardinality,negative_block,0.625,202,8192,0.43405835612488003,0.0028537172335244025,0.43098488247022315,0.0030734736546568775,0.022153644316212435,true
fixed_cardinality,negative_block,0.625,303,8192,0.43524410326339524,0.0028715028243509093,0.43098488247022315,0.004259220793172092,0.02225432970908083,true
fixed_cardinality,negative_block,0.75,101,8192,0.4759435399734902,0.0027967340386082797,0.4750667233354517,0.0008768166380385134,0.02207800722247503,true
fixed_cardinality,negative_block,0.75,202,8192,0.47506466372100076,0.0028175891553248902,0.4750667233354517,0.000002059614450933278,0.02219421584717661,true
fixed_cardinality,negative_block,0.75,303,8192,0.47563855493454976,0.0027838132091619144,0.4750667233354517,0.0005718315990980716,0.022006069931121836,true
fixed_cardinality,negative_block,0.875,101,8192,0.5255736229843444,0.0034300252455562604,0.522871687248871,0.002701935735473393,0.026519929774754498,true
fixed_cardinality,negative_block,0.875,202,8192,0.522313218602616,0.003411067006296351,0.522871687248871,0.0005584686462549726,0.026416025846842783,true
